playerId,Name,Team,Pos,GP,G,A,P,+/-,PIM,PPG,SHG,GWG,,S,S%,SecPerGP,MinPerGP,,Shifts/GP,FOW%,Season,PPP,SHP
8481720,Nick Abruzzese,TOR,C,2,0,2,2,1,0,0,0,0,,2,0.0,538.5,8.975,,,None,20222023,1,0
8478569,Noel Acciari,STL/TOR,C,77,14,9,23,-4,21,0,0,2,,102,0.13725,858.7662,14.31277,,,0.53833,20222023,0,2
8480884,Calen Addison,MIN,D,62,3,26,29,-17,22,0,0,1,,77,0.03896,967.1935,16.119891666666668,,,None,20222023,18,0
8481585,Egor Afanasyev,NSH,L,17,1,0,1,-7,2,0,0,0,,21,0.04761,650.8823,10.848038333333333,,,None,20222023,0,0
8475461,Andrew Agozzino,SJS,L,4,1,2,3,-1,0,0,1,0,,9,0.11111,982.25,16.370833333333334,,,1.0,20222023,0,1
8478427,Sebastian Aho,CAR,C,75,36,31,67,8,42,7,3,9,,218,0.16513,1169.7333,19.495555000000003,,,0.51353,20222023,15,4
8480222,Sebastian Aho,NYI,D,71,5,18,23,9,22,0,0,0,,89,0.05617,1006.2253,16.770421666666667,,,None,20222023,2,0
8481543,Nikita Alexandrov,STL,C,28,3,4,7,0,8,0,0,0,,28,0.10714,588.7857,9.813095,,,0.35333,20222023,0,0
8480823,Alexander Alexeyev,WSH,D,32,0,5,5,-2,4,0,0,0,,28,0.0,987.25,16.454166666666666,,,None,20222023,0,0
8479329,Frederic Allard,MTL,D,3,0,0,0,2,0,0,0,0,,6,0.0,830.6666,13.844443333333334,,,None,20222023,0,0
8479322,Wade Allison,PHI,R,60,9,6,15,-3,36,0,0,2,,89,0.10112,773.6833,12.894721666666667,,,0.16666,20222023,0,0
8478020,Michael Amadio,VGK,R,67,16,11,27,2,12,1,0,2,,99,0.16161,732.7462,12.212436666666667,,,0.49206,20222023,2,0
8482496,Nils Aman,VAN,C,68,4,12,16,-12,18,0,0,1,,50,0.08,762.1323,12.702205,,,0.38185,20222023,0,2
